11,11,"{0.250294968015991,0.187377753988615,0.175445539327899,0.311461977311582,0.263852480544582,0.199517521093668,0.193212682622532,0.525021073079985,0.129686717203205,0.219898109230869,1,0.200568585998577,0.233800752158737,0.22733734805678,0.237178238713249,0.26360112149872,0.235793621992264,0.240998632481267,0.22249611027386,0.189972430964413,0.21720339389087,0.241624574697742,0.252474165202538,0.233829524185644,0.163702622039933,0.293365909577604,0.186489197182822,0.30810778603851,0.37435686570186,0.263736607365355,0.202326061472474,0.25756482102941,0.221810002142111,0.190502244772393,0.284019383496259,0.12834138078085,0.161067265336632,0.386188597277013,0.186161422748519,0.515223293160386,0.17438703784057,0.207994482840463,0.165922164149405,0.29644209385296,0.349451180746238,0.308540621032982,0.258258493609554,0.305964992616254,0.204637196157095,0.19318769000932}"
12,12,"{0.423944909432963,0.410444606374874,0.16606774529384,0.469245190051251,0.401495397214953,0.157825932606863,0.153134139999231,0.182034404987959,0.249839995711751,0.153325649542334,0.200568585998577,1,0.33310327402807,0.173332696493885,0.168681137634163,0.321839786696908,0.2023598392829,0.206826817978595,0.15965999894906,0.34942454271229,0.233515864933355,0.30427598542975,0.235889546034682,0.156628762283958,0.178914231253944,0.172124740197198,0.216486353746439,0.153524202294591,0.277541981409708,0.151037771206055,0.205619015073393,0.426978770994532,0.237303549147527,0.318175123801358,0.233625604059299,0.152196391616234,0.14263703181499,0.168734606453365,0.134553008210647,0.156335673199829,0.122843855566132,0.156131901251124,0.137435786559843,0.26441952951884,0.227668730613841,0.21874516225127,0.144736334222528,0.166351869847212,0.201880081017195,0.109224183973074}"
13,13,"{0.316449006872331,0.257043022463492,0.137974126968829,0.31207903149683,0.192114121987439,0.178325916149557,0.182771789299388,0.325236736826316,0.240077741440121,0.140934866193772,0.233800752158737,0.33310327402807,1,0.122510133888488,0.210428683094389,0.333272034072109,0.215248505879477,0.348769342475498,0.299871243536163,0.184446145999217,0.365714800475661,0.275924523714973,0.241402305108241,0.194953940233683,0.191597211140899,0.322055236798279,0.251032103932,0.169289081928573,0.341129469986531,0.219068944377675,0.192075148844973,0.276375866227018,0.229911532973941,0.167387794965065,0.134060533878581,0.162801434282722,0.118821022478521,0.192467837698732,0.103570261366109,0.269643039345517,0.146161605647353,0.185768260646565,0.155287297500519,0.56415686397211,0.42847505267031,0.201067598698844,0.24021921754621,0.173312859021513,0.235414313635815,0.129130108962705}"
14,14,"{0.170424942688799,0.177447736008592,0.160341135604202,0.215015865001619,0.221554315657018,0.137334538897337,0.125046993115929,0.187319475530852,0.172947828158861,0.151889787107773,0.22733734805678,0.173332696493885,0.122510133888488,1,0.283124564672556,0.179485054694557,0.155120212841668,0.158544403572848,0.118880848401874,0.130232632195255,0.142890364911524,0.194946863234847,0.172454808891371,0.132526545220272,0.142957845996286,0.156746956968579,0.205786476435498,0.114312210567062,0.261430815510674,0.183105353832456,0.184312022853042,0.172100794109072,0.18826483967187,0.130595837774277,0.197892320888732,0.108583774878349,0.135777208939666,0.229024368873371,0.129148796593132,0.156486455233594,0.158744403340804,0.135817743582878,0.114012151572574,0.237462218397268,0.160964690070559,0.212999124619236,0.158422835494099,0.164056739921406,0.133625478212813,0.200830449330861}"
15,15,"{0.309889761703356,0.179805422353121,0.198238996564732,0.244715753057327,0.207308959603493,0.180570003682689,0.195312386974463,0.180822495235926,0.158300357061558,0.205685402245075,0.237178238713249,0.168681137634163,0.210428683094389,0.283124564672556,1,0.326364087034929,0.239643968932098,0.2449339736463,0.19999973680178,0.214653186587797,0.220750175249598,0.197198614651444,0.306592729485004,0.219057992637214,0.164885564721135,0.379006276135542,0.289243505867017,0.1923136681306,0.2644504958451,0.222386662246333,0.171007256923231,0.293097356550663,0.172786315979414,0.215251832515544,0.161632277811465,0.164502388863106,0.175434655850939,0.29054868348298,0.124871181501445,0.194523129626369,0.177726402867914,0.213889965748726,0.194050046814982,0.294349057326847,0.270799679521673,0.288890677429285,0.252056959900086,0.153329568006894,0.210437518722692,0.157667509131498}"
16,16,"{0.790367943607202,0.388595348848277,0.202140777578246,0.373827555499827,0.284298006329359,0.266475789348589,0.242902101812374,0.221701245684957,0.21301995701592,0.206478446837582,0.26360112149872,0.321839786696908,0.333272034072109,0.179485054694557,0.326364087034929,1,0.293820557911301,0.300306480104154,0.225552616538969,0.275158185327667,0.270655422458107,0.246053384127789,0.462348615395872,0.23454068013754,0.371368814634466,0.263777429369171,0.265395670227181,0.487847978957217,0.329966513973592,0.240480111129665,0.38515659272465,0.397676241734291,0.227015336759812,0.247707018620665,0.196407117451038,0.358268372155542,0.16401951563852,0.375612343005549,0.151736949719981,0.192718196822358,0.1955901745785,0.248590909836273,0.291892452919154,0.306474163922525,0.270875128851968,0.294576683612264,0.394587440107017,0.182367566255852,0.24457834690767,0.175232485309163}"
17,17,"{0.278988976703601,0.233510100500546,0.174700453445992,0.315278468001338,0.36991846030341,0.151544108673915,0.226994678988167,0.304426272285441,0.154183282758083,0.295409164222595,0.235793621992264,0.2023598392829,0.215248505879477,0.155120212841668,0.239643968932098,0.293820557911301,1,0.557315805385602,0.274176776744498,0.232062751532973,0.365382881356868,0.364773513492907,0.408641291207529,0.348171932222953,0.181057616370163,0.264289315149733,0.169743934806979,0.211427797054031,0.686365693495292,0.481483144428614,0.187779726945082,0.283769841545479,0.273139327003091,0.21120158335956,0.384845067231695,0.168050485882191,0.335181478190983,0.243699447558995,0.275551565393549,0.233843632397706,0.448411683480717,0.412712828998956,0.520119547691393,0.29133585470428,0.388221534900495,0.376646765164152,0.399075723244388,0.229898237306623,0.406051136506296,0.385639636914313}"
18,18,"{0.285147500152153,0.238664703547584,0.178556866884731,0.322238061390839,0.378084200537123,0.154889358933569,0.232005457800157,0.277370011695167,0.202217644403673,0.186369413420351,0.240998632481267,0.206826817978595,0.348769342475498,0.158544403572848,0.2449339736463,0.300306480104154,0.557315805385602,1,0.456489247045523,0.237185405172331,0.59428180388284,0.495015755941252,0.286910041713351,0.292823901764522,0.238291253861748,0.349737371852059,0.173490935907559,0.274155751472607,0.296798070196255,0.422064162132799,0.191924857929173,0.29003389987423,0.279168722751789,0.215863738541674,0.17349215703073,0.171760105058097,0.186541819563061,0.24907897466406,0.218957005561526,0.187973525930695,0.401338283365117,0.349413253953178,0.229012502739936,0.547825475892378,0.32164753241266,0.384961028912103,0.195540026716368,0.283667306479143,0.343773294428921,0.300574315380071}"
19,19,"{0.214167089356706,0.178455775666016,0.13388673043564,0.239807497684474,0.185001367919001,0.11699102223916,0.12759064677163,0.239285639768601,0.13514395113721,0.139623469805486,0.22249611027386,0.15965999894906,0.299871243536163,0.118880848401874,0.19999973680178,0.225552616538969,0.274176776744498,0.456489247045523,1,0.176511856657017,0.411417329269213,0.34255676181015,0.214910368713924,0.206665146014388,0.180829241755106,0.309704479577858,0.171617275187169,0.212614905984235,0.26828521052433,0.221430734366074,0.649929660619741,0.221562632590107,0.137772678171453,0.161190498236808,0.13008907507358,0.113341324753252,0.141694379779197,0.186766099337758,0.161591842499352,0.206466958507055,0.148463667463349,0.177933029583998,0.126860341731526,0.449041190945609,0.297224969825378,0.195111097839492,0.289812526780699,0.154684526882557,0.175060971716907,0.225220604008166}"
20,20,"{0.487903328581814,0.450012141337375,0.214198064948007,0.476692598935296,0.533665812076971,0.160319502051245,0.146421203483243,0.175102114901948,0.128288085778146,0.221955016661963,0.189972430964413,0.34942454271229,0.184446145999217,0.130232632195255,0.214653186587797,0.275158185327667,0.232062751532973,0.237185405172331,0.176511856657017,1,0.213766669355752,0.332249524013286,0.260644753490847,0.232614019888183,0.159875770067456,0.191149430275215,0.21217539977678,0.16972843647238,0.256415573670511,0.175543403575426,0.198069872423354,0.511457173603259,0.150825604283502,0.434962592971553,0.142511118438582,0.127408035211362,0.171000989553089,0.204600160989542,0.137090144294723,0.127563826048067,0.13965874819524,0.165626719709376,0.139035284888609,0.285997648916144,0.196292862052702,0.31214758528434,0.142944475531415,0.120778644671842,0.162953300814335,0.126286796614707}"
